X,Y,objectid,nombre_de_,nombre_de1,classement,adresse,cp,ville,e_mail,type_d_et,nom_etabl,civilite,site_web,created_user,created_date,last_edited_user,last_edited_date
1687223.9394,9248266.5623,64,112,54,3*,13 C route de Béthune,62300,LENS,"hotel@bollaertlens.fr
bruno.parrain@orange-business.fr
isabelle.parrain@orange-business.fr",4,Hôtel Bollaert,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680659.44,9243573.0946,65,3,2, ,9 rue Lancino,62153,ABLAIN-SAINT-NAZAIRE,fermeaubergedupremolaine@orange.fr,2,La Ferme Auberge du Pré Molaine - 1,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687873.1081,9247627.4635,66,2,4,24/04/2019,33 rue Gambetta,62300,LENS,karargilles0@gmail.com,2,Le 33 Chambres d'Hôtes - 1,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680397.6799,9248889.2363,67,7,3,Non classé,26 rue Charcot,62160,BULLY-LES-MINES,katherine.morice@orange.fr,5,La Maison Orange,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1693048.4039,9248553.516,68,4,4,04/09/2019,61 rue de la Liberté,62740,FOUQUIERES-LEZ-LENS,eric.vanelstraete@orange.fr,2,La Kefoise - 1,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685276.2225,9250973.9818,69,6,1,Non classé,1 rue du 11 novembre,62750,LOOS-EN-GOHELLE,frimatcat@wanadoo.fr,5,L'instant Présent - Le pigeonnier,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691624.2513,9242687.387,70,0,0, ,15 rue Jean Lennes,62320,ACHEVILLE,lesquatrechardons@gmail.com,5,Les quatres chardons,Monsier,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679063.7735,9247399.2575,71,12,4,Non classé,1 rue de Boyeffles,62160,AIX-NOULETTE,noel.lucas@aix-noulette.fr,5,Gîte municipal d'Aix Noulette,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680154.5651,9243532.7983,72,10,3,3*,8 rue Molonne,62153,ABLAIN-SAINT-NAZAIRE,och.boca@gmail.com,5,Gîte des Monts d'Artois,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681476.8605,9244175.0558,73,2,4, ,31 rue du Docteur Wagon,62153,SOUCHEZ, ,2,Le Domaine des loups - 4,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691886.4661,9255106.4127,74,2,3, ,15 chemin des Prés,62410,MEURCHIN, ,2,Le Nador - 3,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687030.2055,9250421.5903,75,102,51,Non classé,282 route de La Bassée,62300,LENS,manager.lens@campanile.fr,4,Campanile Lens,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1679706.3988,9243634.152,76,7,3,3*,52 rue Marcel Lancino,62153,ABLAIN-SAINT-NAZAIRE,lesaintnazaire62@gmail.com,5,Le Saint-Nazaire,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687873.1081,9247627.4635,77,2,4,24/04/2019,33 rue Gambetta,62300,LENS, ,2,Le 33 Chambres d'Hôtes - 2,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684313.5563,9243799.5388,78,2,3,25/04/2019,105 rue Degréaux,62580,GIVENCHY-EN-GOHELLE, ,2,L'Heure Bleue - 2,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681476.8605,9244175.0558,79,2,4, ,31 rue du Docteur Wagon,62153,SOUCHEZ,contact@ledomainedesloups.com,2,Le Domaine des loups - 1,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681445.9692,9243492.7649,80,15,6,Non classé,3 rue Péri Brossolette,62153,SOUCHEZ,dsouillard@vieactive.asso.fr,5,La Maison Bernière,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684177.1591,9246182.0569,81,4,1,3*,84 bis rue Michelet,62800,LIEVIN,lappartementlievin@orange.fr,5,L'Appartement,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687774.3943,9247649.2685,82,2,5, ,8 rue Gustave Spriet,62300,LENS, ,2,La Villa Louvre-Lens - 2,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680390.4964,9243569.519,83,3,1,Non classé,9 E rue Marcel Lancino,62153,ABLAIN-SAINT-NAZAIRE,pierre.labenne@orange.fr,5,Couleurs et senteurs provençales,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688325.725,9247954.5819,84,6,0,Non classé,27 rue du 14 Juillet,62300,LENS,danieldessailly@hotmail.fr,5,Le Sweet Home Lens - 1,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1691886.4661,9255106.4127,85,2,3, ,15 chemin des Prés,62410,MEURCHIN,lenador62410@gmail.com,2,Le Nador - 1,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,86,2,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS,freddy.coilliaux@laposte.net,5,Cook 1,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684718.6557,9247637.934,87,175,80,2*,"Rue Gilles de Roberval
ZAC de l'An 2000",62800,LIEVIN,bb_4585@hotelbb.com,4,Hôtel B&B Lens Musée du Louvre,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681476.8605,9244175.0558,88,2,4, ,31 rue du Docteur Wagon,62153,SOUCHEZ, ,2,Le Domaine des loups - 2,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687864.6181,9247643.3889,89,2,3, ,44 rue Gambetta,62300,LENS, ,2,La Belle Lensoise - 3,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1674524.8745,9245654.6066,90,5,2,3*,1 Grand rue,62530,SERVINS,valerie.tomaszewski@wanadoo.fr,5,La Grange,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684572.7644,9246799.116,91,4,1,Non classé,9 rue Emile Roux,62800,LIEVIN,lecedrebleu.lievin@gmail.com,5,Le cèdre bleu,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686407.0109,9249549.5328,92,1,1,Non classé,58 ter rue Pierre Brossolette,62300,LENS, ,5,Cook 6, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684313.5563,9243799.5388,93,2,3,25/04/2019,105 rue Degréaux,62580,GIVENCHY-EN-GOHELLE, ,2,L'Heure Bleue - 3,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687790.3666,9247642.8916,94,4,1,Non classé,6 rue Gustave Spriet,62300,LENS, ,5,Appart Hôtel - Appart Stade Bollaert, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687161.3232,9249284.8156,95,2,1,Non classé,2 place Cauchy,62300,LENS,iannonegeoffrey@gmail.com,5,Meublé Léa & Co - Le cocoon,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687894.3377,9247620.7412,96,4,2,Non classé,34 rue Gambetta,62300,LENS,weissvirginielens@gmail.com,5,Les gîtes de Lens Gambetta - Rez de jardin,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1683479.3375,9245944.1435,97,200,100,Non classé,Chemin des Manufactures,62800,LIEVIN,jmpetitpre@arena-lievin.fr,3,ARENA Stade Couvert Liévin,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687161.3232,9249284.8156,98,2,1,Non classé,2 place Cauchy,62300,LENS, ,5,Meublé Léa & Co - Appartement lumineux, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687661.0083,9251233.417,99,142,70,3*,"Centre commercial Lens 2
Rue des Canadiens",62880,VENDIN-LE-VIEIL,jfnavarro@hotmail.fr,4,Lensotel,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1681476.8605,9244175.0558,100,2,4, ,31 rue du Docteur Wagon,62153,SOUCHEZ, ,2,Le Domaine des loups - 3,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687866.2046,9247498.0062,101,45,22,2*,2 place du Général de Gaulle,62300,LENS,contact@hoteldefrancelens.com,4,Hôtel de France,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1693048.4039,9248553.516,102,4,4,04/09/2019,61 rue de la Liberté,62740,FOUQUIERES-LEZ-LENS, ,2,La Kefoise - 4,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687774.3943,9247649.2685,103,2,1,Non classé,8 rue Gustave Spriet,62300,LENS,reception@hotel-lens.com,5,La Villa Louvre-Lens - Dali,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1687161.3232,9249284.8156,104,2,0,Non classé,2 place Cauchy,62300,LENS, ,5,Meublé Léa & Co - Le charmant, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1685013.5203,9249021.037,105,4,1, ,4 square Noguères,62300,LENS, ,5,Gîtes de l'Ecole Buissonnière - Le toit terrasse, ,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1686323.9655,9248053.7922,106,115,52,4*,168 rue Paul Bert,62300,LENS,a.bouilhol@espritdefrance.com,4,Hôtel Louvre-Lens – Esprit de France,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1693048.4039,9248553.516,107,4,4,04/09/2019,61 rue de la Liberté,62740,FOUQUIERES-LEZ-LENS, ,2,La Kefoise - 3,Monsieur,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684313.5563,9243799.5388,108,2,3,25/04/2019,105 rue Degréaux,62580,GIVENCHY-EN-GOHELLE,melanie59239@gmail.com,2,L'Heure Bleue - 1,Madame,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688037.9159,9248148.2083,109,4,0,Non classé,23 rue du Cantin,62300,LENS, ,5,Le Sweet Home Lens - Le Cantin - 3,M.,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1680033.3312,9243534.4756,110,7,3,3*,32 rue Marcel Lancino,62153,ABLAIN-SAINT-NAZAIRE,contact@valdablain.fr,5,Le Val d'Ablain,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1684313.5563,9243799.5388,111,2,1,Non classé,105 rue Degréaux,62580,GIVENCHY-EN-GOHELLE,melanie59239@gmail.com,5,L'Heure Bleue - Gîte Hibou,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688209.867,9247676.5372,112,6,2,Non classé,9 avenue Van Pelt - Appt 13,62300,LENS,claire.and@hotmail.fr,5,Le Cosy,Mme,,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
1688356.3023,9248063.8552,113,5,3,3*,38 rue Erienne Dolet,62300,LENS,jp44.prevost@wanadoo.fr,5,Gîte La Bonne mine - N°38,"Mme, M.",,,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00
